% Moku:Oscilloscope
% Channel A (Input 1) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 3.000 s, time offset 1.740 s, Normal acquisition mode, 1 averages
% Edge trigger: Channel A, level 2.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Pulse, 50.000 000 Hz, 3.303 5 Vpp, offset 0.000 0 V, phase 0.000 deg, width 1.000 ms, edge 4.000 ns, output load 1 MOhm
% Output 2 - Ramp, 50.000 000 000 kHz, 500.9 mVpp, offset 0.000 0 V, phase 0.000 deg, symmetry 90.00 %, output load 50 Ohm
% Internal 10 MHz clock
% Acquired 2022-05-01 T 02:47:07 -0400
% Kite Propulsion Generator Prototype Iteration 1.0
% Time (s), Ch 1 (V)
1.961147874000e+00, 1.0584081589e-03
1.961343188000e+00, 1.0584081589e-03
1.961538502000e+00, 1.5876122384e-03
1.961733816000e+00, 7.9380611920e-04
1.961929130000e+00, 1.5876122384e-03
1.962124444000e+00, 1.0584081589e-03
1.962319758000e+00, 1.3230101987e-03
1.962515072000e+00, 1.0584081589e-03
1.962710386000e+00, 2.1168163179e-03
1.962905700000e+00, 1.0584081589e-03
1.963101014000e+00, 1.0584081589e-03
1.963296328000e+00, 5.2920407947e-04
1.963491642000e+00, 1.3230101987e-03
1.963686956000e+00, 1.0584081589e-03
1.963882270000e+00, 7.9380611920e-04
1.964077584000e+00, 7.9380611920e-04
1.964272898000e+00, 7.9380611920e-04
1.964468212000e+00, 1.3230101987e-03
1.964663526000e+00, -1.3230101987e-03
1.964858840000e+00, 6.3504489536e-03
1.965054154000e+00, 2.6460203973e-04
1.965249468000e+00, 7.9380611920e-04
1.965444782000e+00, 7.9380611920e-04
1.965640096000e+00, 5.2920407947e-04
1.965835410000e+00, 7.9380611920e-04
1.966030724000e+00, 1.0584081589e-03
1.966226038000e+00, 0.0000000000e+00
