% Moku:Oscilloscope
% Channel A (Input 1) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 3.000 s, time offset 1.740 s, Normal acquisition mode, 1 averages
% Edge trigger: Channel A, level 2.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Pulse, 50.000 000 Hz, 3.303 5 Vpp, offset 0.000 0 V, phase 0.000 deg, width 1.000 ms, edge 4.000 ns, output load 1 MOhm
% Output 2 - Ramp, 50.000 000 000 kHz, 500.9 mVpp, offset 0.000 0 V, phase 0.000 deg, symmetry 90.00 %, output load 50 Ohm
% Internal 10 MHz clock
% Acquired 2022-05-01 T 02:47:07 -0400
% Kite Propulsion Generator Prototype Iteration 1.0
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-2.711524425422e+00, -1.137786e-01, 1.347613e-03
-2.708591663641e+00, -1.358132e-01, 1.347613e-03
-2.705658901859e+00, -1.436923e-01, 0.000000e+00
-2.702726140078e+00, -1.278007e-01, -4.042840e-03
-2.699793378297e+00, -1.303380e-01, -1.347613e-03
-2.696860616516e+00, -1.221918e-01, 1.347613e-03
-2.693927854734e+00, -1.024275e-01, 2.695226e-03
-2.690995092953e+00, -9.348010e-02, 0.000000e+00
-2.688062331172e+00, -7.879037e-02, -1.347613e-03
-2.685129569391e+00, -6.570316e-02, -5.390453e-03
-2.682196807609e+00, -6.356647e-02, -1.347613e-03
-2.679264045828e+00, -6.356647e-02, 1.347613e-03
-2.676331284047e+00, -6.263167e-02, 2.695226e-03
-2.673398522266e+00, -6.864110e-02, -1.347613e-03
-2.670465760484e+00, -8.239603e-02, -2.695226e-03
-2.667532998703e+00, -9.094279e-02, -4.042840e-03
-2.664600236922e+00, -9.414782e-02, -1.347613e-03
-2.661667475141e+00, -9.601742e-02, 2.695226e-03
-2.658734713359e+00, -9.575033e-02, 1.347613e-03
-2.655801951578e+00, -9.000799e-02, -1.347613e-03
-2.652869189797e+00, -9.174404e-02, -2.695226e-03
-2.649936428016e+00, -8.626878e-02, -2.695226e-03
-2.647003666234e+00, -7.251385e-02, -1.347613e-03
-2.644070904453e+00, -5.835829e-02, 4.042840e-03
-2.641138142672e+00, -4.674005e-02, 2.695226e-03
-2.638205380891e+00, -4.273376e-02, -1.347613e-03
-2.635272619109e+00, -3.699141e-02, -4.042840e-03
-2.632339857328e+00, -3.164969e-02, -1.347613e-03
-2.629407095547e+00, -2.537317e-02, 2.695226e-03
-2.626474333766e+00, -2.150042e-02, 4.042840e-03
-2.623541571984e+00, -1.776122e-02, 1.347613e-03
-2.620608810203e+00, -1.135116e-02, -5.390453e-03
-2.617676048422e+00, -1.135116e-02, -5.390453e-03
-2.614743286641e+00, -1.108407e-02, 0.000000e+00
-2.611810524859e+00, -7.745494e-03, 1.347613e-03
